image_filename,class,x_min,y_min,x_max,y_max
Armas de Fuego_0036.jpg,Armas de Fuego,186,12,253,145
Armas de Fuego_0043.jpg,Armas de Fuego,145,0,246,196
Armas de Fuego_0044.jpg,Armas de Fuego,428,506,497,639
Armas de Fuego_0044.jpg,Armas de Fuego,338,185,470,448
Armas de Fuego_0044.jpg,Armas de Fuego,264,198,345,360
Armas de Fuego_0044.jpg,Armas de Fuego,187,102,268,264
Armas de Fuego_0045.jpg,Armas de Fuego,493,435,595,639
Armas de Fuego_0045.jpg,Armas de Fuego,416,313,487,455
Armas de Fuego_0045.jpg,Armas de Fuego,234,107,397,432
Armas de Fuego_0045.jpg,Armas de Fuego,152,119,265,345
Armas de Fuego_0046.jpg,Armas de Fuego,330,263,402,409
Armas de Fuego_0046.jpg,Armas de Fuego,275,185,345,326
Armas de Fuego_0047.jpg,Armas de Fuego,513,440,612,639
Armas de Fuego_0047.jpg,Armas de Fuego,321,439,405,565
Armas de Fuego_0048.jpg,Armas de Fuego,202,405,289,581
Armas de Fuego_0048.jpg,Armas de Fuego,512,114,617,324
Armas de Fuego_0051.jpg,Armas de Fuego,347,294,441,483
Armas de Fuego_0051.jpg,Armas de Fuego,138,112,211,259
Armas de Fuego_0053.jpg,Armas de Fuego,312,532,402,640
Armas de Fuego_0053.jpg,Armas de Fuego,341,288,523,640
Armas de Fuego_0053.jpg,Armas de Fuego,288,165,359,307
Armas de Fuego_0054.jpg,Armas de Fuego,498,468,579,630
Armas de Fuego_0054.jpg,Armas de Fuego,165,173,385,613
Armas de Fuego_0054.jpg,Armas de Fuego,34,145,126,330
Armas de Fuego_0054.jpg,Armas de Fuego,473,6,579,218
Armas de Fuego_0055.jpg,Armas de Fuego,76,0,364,571
Armas de Fuego_0055.jpg,Armas de Fuego,516,168,612,358
Armas de Fuego_0056.jpg,Armas de Fuego,0,122,498,640
Armas de Fuego_0056.jpg,Armas de Fuego,484,311,610,565
Armas de Fuego_0057.jpg,Armas de Fuego,78,466,158,626
Armas de Fuego_0057.jpg,Armas de Fuego,214,134,370,447
Armas de Fuego_0058.jpg,Armas de Fuego,238,234,378,514
Armas de Fuego_0058.jpg,Armas de Fuego,493,114,597,323
Armas de Fuego_0059.jpg,Armas de Fuego,209,146,444,616
Armas de Fuego_0059.jpg,Armas de Fuego,450,402,532,566
Armas de Fuego_0059.jpg,Armas de Fuego,418,251,555,525
Armas de Fuego_0059.jpg,Armas de Fuego,0,23,116,276
Armas de Fuego_0060.jpg,Armas de Fuego,68,113,363,355
Armas de Fuego_0061.jpg,Armas de Fuego,75,356,144,495
Armas de Fuego_0061.jpg,Armas de Fuego,268,154,385,388
Armas de Fuego_0061.jpg,Armas de Fuego,98,112,170,257
Armas de Fuego_0063.jpg,Armas de Fuego,4,0,229,439
Armas de Fuego_0063.jpg,Armas de Fuego,406,222,520,393
Armas de Fuego_0065.jpg,Armas de Fuego,526,374,601,525
Armas de Fuego_0066.jpg,Armas de Fuego,204,419,286,583
Armas de Fuego_0067.jpg,Armas de Fuego,0,170,360,640
Armas de Fuego_0067.jpg,Armas de Fuego,474,0,586,212
Armas de Fuego_0067.jpg,Armas de Fuego,382,40,453,181
Armas de Fuego_0068.jpg,Armas de Fuego,376,296,454,451
Armas de Fuego_0070.jpg,Armas de Fuego,105,0,579,640
Armas de Fuego_0072.jpg,Armas de Fuego,236,89,302,221
Armas de Fuego_0072.jpg,Armas de Fuego,143,11,231,186
Contundentes_0004.jpg,Contundentes,0,51,68,200
Contundentes_0007.jpg,Contundentes,79,0,153,145
Contundentes_0010.jpg,Contundentes,60,19,231,159
Contundentes_0035.jpg,Contundentes,6,47,85,206
Contundentes_0036.jpg,Contundentes,70,60,157,233
Contundentes_0047.jpg,Contundentes,105,91,175,225
Contundentes_0047.jpg,Contundentes,57,47,122,177
Contundentes_0052.jpg,Contundentes,218,278,580,706
Contundentes_0052.jpg,Contundentes,692,263,806,434
Contundentes_0052.jpg,Contundentes,700,72,844,361
Contundentes_0052.jpg,Contundentes,414,0,579,322
De control_0002.jpeg,De control,82,97,149,225
De control_0005.jpeg,De control,152,57,220,210
De control_0008.jpeg,De control,33,0,119,171
De control_0010.jpeg,De control,83,74,162,232
De control_0014.jpeg,De control,74,33,174,225
De control_0015.jpeg,De control,156,64,221,194
De control_0022.jpeg,De control,136,87,204,223
De control_0023.jpeg,De control,96,105,172,257
De control_0024.jpeg,De control,63,15,162,214
De control_0026.jpeg,De control,72,32,171,225
De control_0030.jpeg,De control,30,57,110,217
De control_0033.jpeg,De control,91,86,161,225
De control_0033.jpeg,De control,22,87,91,225
De control_0040.jpeg,De control,121,16,220,215
De control_0040.jpeg,De control,52,72,123,213
De control_0044.jpeg,De control,14,126,146,322
De control_0045.jpeg,De control,173,35,289,168
De control_0047.jpeg,De control,65,58,159,240
De control_0051.jpeg,De control,62,43,165,127
De control_0052.jpeg,De control,0,0,136,183
De control_0052.jpeg,De control,173,28,272,109
De control_0055.jpeg,De control,60,0,164,156
De control_0071.jpeg,De control,86,22,184,218
De control_0073.jpeg,De control,33,46,128,235
De control_0075.jpeg,De control,89,14,192,220
De control_0077.jpeg,De control,41,40,138,235
De control_0082.jpeg,De control,64,0,131,129
De control_0083.jpeg,De control,217,0,289,138
De control_0086.jpeg,De control,17,0,88,135
De control_0088.jpeg,De control,51,18,133,182
De control_0095.jpeg,De control,3,47,70,181
De control_0097.jpeg,De control,11,26,81,165
De control_0099.jpeg,De control,66,70,174,232
De control_0101.jpg,De control,36,268,88,373
De control_0101.jpg,De control,97,214,168,355
De control_0101.jpg,De control,445,71,593,293
De control_0101.jpg,De control,0,81,78,245
De control_0102.jpeg,De control,453,243,609,477
De control_0103.jpeg,De control,59,309,128,447
Explosivos_0023.jpg,Explosivos,0,39,103,249
Explosivos_0028.jpg,Explosivos,0,46,68,182
Explosivos_0030.jpg,Explosivos,81,74,180,272
Explosivos_0031.jpg,Explosivos,0,38,95,254
Punzocortante_0000.jpg,Punzocortante,312,216,548,690
Punzocortante_0000.jpg,Punzocortante,214,604,313,685
Punzocortante_0002.jpg,Punzocortante,362,203,526,531
Punzocortante_0002.jpg,Punzocortante,850,283,954,491
Punzocortante_0002.jpg,Punzocortante,880,8,1004,257
Punzocortante_0003.jpg,Punzocortante,96,461,168,606
Punzocortante_0003.jpg,Punzocortante,1017,435,1102,605
Punzocortante_0003.jpg,Punzocortante,197,465,266,603
Punzocortante_0003.jpg,Punzocortante,1097,421,1177,581
Punzocortante_0003.jpg,Punzocortante,107,89,222,321
Punzocortante_0003.jpg,Punzocortante,1048,158,1124,310
Punzocortante_0003.jpg,Punzocortante,1164,42,1236,187
Punzocortante_0007.jpeg,Punzocortante,41,86,128,157
Punzocortante_0012.jpeg,Punzocortante,31,58,112,220
Punzocortante_0012.jpeg,Punzocortante,122,84,189,217
Punzocortante_0020.jpeg,Punzocortante,56,70,137,225
Punzocortante_0029.jpeg,Punzocortante,426,234,532,393
Punzocortante_0082.jpeg,Punzocortante,1625,1112,1699,1223
Punzocortante_0082.jpeg,Punzocortante,201,1016,337,1220
Punzocortante_0082.jpeg,Punzocortante,1660,888,1836,1032
Punzocortante_0082.jpeg,Punzocortante,794,593,1007,1020
Punzocortante_0082.jpeg,Punzocortante,0,748,146,967
Punzocortante_0082.jpeg,Punzocortante,1064,831,1171,918
Punzocortante_0082.jpeg,Punzocortante,1733,788,1819,858
Punzocortante_0082.jpeg,Punzocortante,1254,335,1411,646
Punzocortante_0084.jpg,Punzocortante,950,1330,1140,1710
Punzocortante_0084.jpg,Punzocortante,1122,1461,1254,1659
Punzocortante_0084.jpg,Punzocortante,762,1304,853,1485
Punzocortante_0084.jpg,Punzocortante,894,748,1209,1382
Punzocortante_0084.jpg,Punzocortante,327,780,572,1271
Punzocortante_0084.jpg,Punzocortante,356,93,779,940
Punzocortante_0084.jpg,Punzocortante,201,347,399,747
Punzocortante_0084.jpg,Punzocortante,982,274,1198,703
Punzocortante_0084.jpg,Punzocortante,709,54,998,291
Punzocortante_0085.jpg,Punzocortante,205,222,721,996
Punzocortante_0087.jpg,Punzocortante,540,258,689,546
Punzocortante_0088.jpg,Punzocortante,110,150,187,300
Punzocortante_0090.png,Punzocortante,486,593,624,870
Punzocortante_0094.jpeg,Punzocortante,291,15,395,224
Punzocortante_0096.jpeg,Punzocortante,0,221,122,468
Punzocortante_0096.jpeg,Punzocortante,226,115,398,460
Punzocortante_0096.jpeg,Punzocortante,105,205,225,445
Restriccion_0002.jpg,Restriccion,36,13,108,157
Restriccion_0003.jpg,Restriccion,149,51,215,178
Restriccion_0004.jpg,Restriccion,139,41,212,183
Restriccion_0007.jpg,Restriccion,20,24,90,164
Restriccion_0008.jpg,Restriccion,169,7,284,177
Restriccion_0009.jpg,Restriccion,16,0,99,162
Restriccion_0011.jpg,Restriccion,78,56,145,189
Restriccion_0012.jpg,Restriccion,21,10,99,166
Restriccion_0013.jpg,Restriccion,127,53,217,225
Restriccion_0016.jpg,Restriccion,27,73,105,225
Restriccion_0016.jpg,Restriccion,96,78,173,225
Restriccion_0019.jpg,Restriccion,22,0,124,200
Restriccion_0021.jpg,Restriccion,85,37,152,167
Restriccion_0024.jpg,Restriccion,23,81,89,214
Restriccion_0024.jpg,Restriccion,122,0,225,200
Restriccion_0028.jpg,Restriccion,96,40,182,212
Restriccion_0032.jpg,Restriccion,70,69,149,225
Restriccion_0035.jpg,Restriccion,96,55,167,197
Restriccion_0039.jpg,Restriccion,153,12,221,148
Restriccion_0040.jpg,Restriccion,69,88,139,225
Restriccion_0040.jpg,Restriccion,138,8,218,167
Restriccion_0040.jpg,Restriccion,19,9,97,165
Restriccion_0041.jpg,Restriccion,30,90,114,259
Restriccion_0042.jpg,Restriccion,62,88,134,227
Restriccion_0043.jpg,Restriccion,0,36,74,184
Restriccion_0044.jpg,Restriccion,80,3,160,164
